Gene Name,Upregulated,Downregulated,Max
USP18,0.8072270154953003,0.234585702419281,0.8072270154953003
XIST,0.8038133978843689,0.049958691000938416,0.8038133978843689
ALMS1,0.2098289579153061,0.798346757888794,0.798346757888794
AVIL,0.21542571485042572,0.7935290932655334,0.7935290932655334
AUTS2,0.20396465063095093,0.7887531518936157,0.7887531518936157
ISG15,0.7824890613555908,0.31392547488212585,0.7824890613555908
HERC5,0.78133624792099,0.358408659696579,0.78133624792099
TUBA1A,0.4251953959465027,0.7778221368789673,0.7778221368789673
IFITM3,0.769034743309021,0.3041446805000305,0.769034743309021
SCRN1,0.23847125470638275,0.7668525576591492,0.7668525576591492
UBE2J1,0.7647860646247864,0.41127118468284607,0.7647860646247864
MX1,0.7637674808502197,0.3373574912548065,0.7637674808502197
TYMS,0.7535930275917053,0.4800727963447571,0.7535930275917053
MMP9,0.7453548312187195,0.391104519367218,0.7453548312187195
HSPA1B,0.23365654051303864,0.741162121295929,0.741162121295929
CD47,0.4431798458099365,0.7345020771026611,0.7345020771026611
RSAD2,0.7337313294410706,0.48605766892433167,0.7337313294410706
ITM2A,0.7288868427276611,0.3355301320552826,0.7288868427276611
ANXA3,0.7270399928092957,0.37420132756233215,0.7270399928092957
IFITM2,0.7226840853691101,0.3718871772289276,0.7226840853691101
MT1E,0.7194470167160034,0.41248252987861633,0.7194470167160034
PLEK2,0.5142254829406738,0.7178743481636047,0.7178743481636047
CCZ1B,0.2822948098182678,0.714992105960846,0.714992105960846
KIAA1324,0.3731074333190918,0.7136197090148926,0.7136197090148926
RRM2,0.7134755253791809,0.48482123017311096,0.7134755253791809
FOS,0.7120224237442017,0.41248348355293274,0.7120224237442017
SGK1,0.7101930379867554,0.3934904932975769,0.7101930379867554
TRAK2,0.7095010280609131,0.35459116101264954,0.7095010280609131
YWHAB,0.49530690908432007,0.706648051738739,0.706648051738739
LGALS3BP,0.7058887481689453,0.3821227252483368,0.7058887481689453
ARG1,0.7028601765632629,0.5416247844696045,0.7028601765632629
ACAP1,0.7025740742683411,0.4209149479866028,0.7025740742683411
SLPI,0.7002361416816711,0.4898085296154022,0.7002361416816711
PTTG1,0.6990029811859131,0.48969775438308716,0.6990029811859131
PSMA6,0.6980702877044678,0.4515363276004791,0.6980702877044678
MMUT,0.6971449255943298,0.3561640977859497,0.6971449255943298
EIF2AK2,0.6965002417564392,0.4774187207221985,0.6965002417564392
PRDM1,0.6961811184883118,0.5179139971733093,0.6961811184883118
CDKN1C,0.4624407887458801,0.6956100463867188,0.6956100463867188
MYLIP,0.6949908137321472,0.5363405346870422,0.6949908137321472
SCO2,0.6943019032478333,0.5410547256469727,0.6943019032478333
OAS3,0.6921945810317993,0.45536911487579346,0.6921945810317993
TRAPPC10,0.3776852488517761,0.6895037293434143,0.6895037293434143
